event,date,doi,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,22:59:42,10.1109/tpami.2020.3010953,12,27,
Pub suggested,22:59:42,10.1109/tcyb.2020.3004437,12,28,
Pub suggested,22:59:42,10.1109/iciscae52414.2021.9590713,12,29,
Pub suggested,22:59:42,10.1080/08982112.2021.1896732,12,30,
Pub suggested,22:59:42,10.1016/j.inffus.2019.12.012,12,31,
Pub suggested,22:59:42,10.1007/s00500-019-04586-z,12,32,
Pub suggested,22:59:42,10.1145/3312739,12,33,
Pub suggested,22:59:42,10.1007/978-3-319-91473-2_9,12,34,
Pub suggested,22:59:42,10.1007/s00500-018-3170-5,12,35,
Pub suggested,22:59:42,10.1109/tnnls.2017.2728138,12,36,
Pub suggested,22:59:42,10.1109/tkde.2018.2791525,12,37,
Pub suggested,22:59:42,10.1007/978-3-319-75429-1_10,12,38,
Pub suggested,22:59:42,10.1016/j.eswa.2014.09.012,12,39,
Pub suggested,22:59:42,10.1007/s11135-014-0040-9,12,40,
Pub suggested,22:59:42,10.25300/misq/2014/38.1.04,12,41,
Pub suggested,22:59:42,10.1007/s11042-014-1914-5,12,42,
Pub suggested,22:59:42,10.1214/11-aoas495,12,43,
Pub suggested,22:59:42,10.1137/080716542,12,44,
Pub suggested,22:59:42,10.1111/j.1467-9868.2005.00503.x,12,45,
Pub suggested,22:59:42,10.2307/2528080,12,46,
Pub suggested,22:59:42,10.1214/aoms/1177729694,12,47,
Pub suggested,22:59:42,10.1371/journal.pone.0250119,12,48,
Pub suggested,22:59:42,10.1126/sciadv.aar2334,12,49,
Pub suggested,22:59:42,10.1007/978-3-642-39041-8_5,12,50,
Update,22:59:42,,,,,12
Network collapsed,23:0:4,,,,,
Keywords updated,23:0:13,,,,,explanation_counterfactual_distance_ordinal_ survey_ benchmark
Pub suggested,23:0:13,10.1109/tpami.2021.3056510,12,1,
Pub suggested,23:0:13,10.1109/tnnls.2019.2899381,12,2,
Pub suggested,23:0:13,10.1145/3351095.3372850,12,3,
Pub suggested,23:0:13,10.1109/ijcnn.2014.6889941,12,4,
Pub suggested,23:0:13,10.24963/ijcai.2021/609,12,5,
Pub suggested,23:0:13,10.1145/3442188.3445899,12,6,
Pub suggested,23:0:13,10.1080/01621459.2019.1604370,12,7,
Pub suggested,23:0:13,10.1109/tnnls.2015.2436432,12,8,
Pub suggested,23:0:13,10.1007/978-3-031-15509-3_51,12,9,
Pub suggested,23:0:13,10.3390/e24010042,12,10,
Pub suggested,23:0:13,10.1145/3351095.3372824,12,11,
Pub suggested,23:0:13,10.1016/j.artint.2018.07.007,12,12,
Pub suggested,23:0:13,10.24963/ijcai.2019/876,12,13,
Pub suggested,23:0:13,10.1111/stan.12130,12,14,
Pub suggested,23:0:13,10.1016/j.patcog.2015.09.027,12,15,
Pub suggested,23:0:13,10.1007/978-3-319-23528-8_16,12,16,
Pub suggested,23:0:13,10.1109/ijcnn.2014.6889890,12,17,
Pub suggested,23:0:13,10.1016/j.jspi.2012.06.004,12,18,
Pub suggested,23:0:13,10.1007/978-3-642-20291-9_6,12,19,
Pub suggested,23:0:13,10.1109/icste.2010.5608801,12,20,
Pub suggested,23:0:13,10.1007/978-3-642-03915-7_8,12,21,
Pub suggested,23:0:13,10.1016/j.patrec.2006.06.006,12,22,
Pub suggested,23:0:13,10.1177/0049124100028003001,12,23,
Pub suggested,23:0:13,10.2466/pms.1995.80.3.843,12,24,
Pub suggested,23:0:13,10.2307/1388242,12,25,
Pub suggested,23:0:13,10.1145/2939672.2939778,12,26,
Pub suggested,23:0:13,10.1109/tpami.2020.3010953,12,27,
Pub suggested,23:0:13,10.1109/tcyb.2020.3004437,12,28,
Pub suggested,23:0:13,10.1109/iciscae52414.2021.9590713,12,29,
Pub suggested,23:0:13,10.1080/08982112.2021.1896732,12,30,
Pub suggested,23:0:13,10.1016/j.inffus.2019.12.012,12,31,
Pub suggested,23:0:13,10.1007/s00500-019-04586-z,12,32,
Pub suggested,23:0:13,10.1145/3312739,12,33,
Pub suggested,23:0:13,10.1007/978-3-319-91473-2_9,12,34,
Pub suggested,23:0:13,10.1007/s00500-018-3170-5,12,35,
Pub suggested,23:0:13,10.1109/tnnls.2017.2728138,12,36,
Pub suggested,23:0:13,10.1109/tkde.2018.2791525,12,37,
Pub suggested,23:0:13,10.1007/978-3-319-75429-1_10,12,38,
Pub suggested,23:0:13,10.1016/j.eswa.2014.09.012,12,39,
Pub suggested,23:0:13,10.1007/s11135-014-0040-9,12,40,
Pub suggested,23:0:13,10.25300/misq/2014/38.1.04,12,41,
Pub suggested,23:0:13,10.1007/s11042-014-1914-5,12,42,
Pub suggested,23:0:13,10.1214/11-aoas495,12,43,
Pub suggested,23:0:13,10.1137/080716542,12,44,
Pub suggested,23:0:13,10.1111/j.1467-9868.2005.00503.x,12,45,
Pub suggested,23:0:13,10.2307/2528080,12,46,
Pub suggested,23:0:13,10.1214/aoms/1177729694,12,47,
Pub suggested,23:0:13,10.1371/journal.pone.0250119,12,48,
Pub suggested,23:0:13,10.1126/sciadv.aar2334,12,49,
Pub suggested,23:0:13,10.1007/978-3-642-39041-8_5,12,50,
Network expanded,23:0:15,,,,,
Pub activated,23:0:20,10.1109/ijcnn.2014.6889941,12,4,network
Pub qd for selected,23:0:58,10.1109/ijcnn.2014.6889941,12,4,network
Pub deactivated,23:1:0,10.1109/ijcnn.2014.6889941,12,4,
Pub added,23:1:3,10.1109/ijcnn.2014.6889941,,,
Pub suggested,23:1:9,10.1109/tpami.2021.3056510,13,1,
Pub suggested,23:1:9,10.1109/tnnls.2019.2899381,13,2,
Pub suggested,23:1:9,10.1145/3351095.3372850,13,3,
