event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub added,13:52:4,10.1109/tvcg.2010.79,,,,,
Pub deactivated,13:54:57,10.1109/tvcg.2022.3209450,SizePairs: Achieving Stable and Balanced Temporal Treemaps using Hierarchical Size-based Pairing,Han et al.,24,6,
Pub activated,13:54:57,10.1109/isvd.2010.16,Fast Dynamic Voronoi Treemaps,Sud et al.,24,11,suggested
Pub activated,13:54:57,10.1109/isvd.2010.16,Fast Dynamic Voronoi Treemaps,Sud et al.,24,11,suggested
Pub qd for selected,13:55:0,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,12,suggested
Pub deactivated,13:55:0,10.1109/isvd.2010.16,Fast Dynamic Voronoi Treemaps,Sud et al.,24,11,
Pub activated,13:55:0,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,12,suggested
Pub activated,13:55:0,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,12,suggested
Pub deactivated,13:55:3,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,12,
Pub activated,13:56:21,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,12,suggested
Clicked abstract,13:56:23,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,12,suggested
Pub excluded,13:56:34,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,12,suggested
Pub qd for selected,13:56:54,10.1109/tvcg.2007.70540,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,Blanch and Lecolinet,24,15,suggested
Pub deactivated,13:56:54,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,24,12,
Pub activated,13:56:54,10.1109/tvcg.2007.70540,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,Blanch and Lecolinet,24,15,suggested
Pub activated,13:56:54,10.1109/tvcg.2007.70540,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,Blanch and Lecolinet,24,15,suggested
Pub qd for selected,13:56:57,10.28925/2311-259x.2022.3.8,Treemap as a type of data visualization in the media,Lichenko,24,16,suggested
Pub deactivated,13:56:57,10.1109/tvcg.2007.70540,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,Blanch and Lecolinet,24,15,
Pub activated,13:56:57,10.28925/2311-259x.2022.3.8,Treemap as a type of data visualization in the media,Lichenko,24,16,suggested
Pub activated,13:56:57,10.28925/2311-259x.2022.3.8,Treemap as a type of data visualization in the media,Lichenko,24,16,suggested
Pub excluded,13:56:59,10.1109/iv.2009.97,Treemaps and Choropleth Maps Applied to Regional Hierarchical Statistical Data,Jern et al.,24,14,suggested
Pub excluded,13:57:0,10.1109/vissoft.2018.00018,Quantitative Comparison of Dynamic Treemaps for Software Evolution Visualization,Faccin Vernier et al.,24,13,suggested
Pub qd for selected,13:57:5,10.1007/s12650-022-00874-3,Procedural texture patterns for encoding changes in color in 2.5D treemap visualizations,Limberger et al.,24,17,suggested
Pub deactivated,13:57:5,10.28925/2311-259x.2022.3.8,Treemap as a type of data visualization in the media,Lichenko,24,16,
Pub activated,13:57:5,10.1007/s12650-022-00874-3,Procedural texture patterns for encoding changes in color in 2.5D treemap visualizations,Limberger et al.,24,17,suggested
Pub activated,13:57:5,10.1007/s12650-022-00874-3,Procedural texture patterns for encoding changes in color in 2.5D treemap visualizations,Limberger et al.,24,17,suggested
Pub qd for selected,13:57:11,10.1145/3430036.3430054,Survey on user studies on the effectiveness of treemaps,Fiedler et al.,24,18,suggested
Pub deactivated,13:57:11,10.1007/s12650-022-00874-3,Procedural texture patterns for encoding changes in color in 2.5D treemap visualizations,Limberger et al.,24,17,
Pub activated,13:57:11,10.1145/3430036.3430054,Survey on user studies on the effectiveness of treemaps,Fiedler et al.,24,18,suggested
Pub activated,13:57:11,10.1145/3430036.3430054,Survey on user studies on the effectiveness of treemaps,Fiedler et al.,24,18,suggested
Pub qd for selected,13:57:14,10.1109/pacificvis48177.2020.7614,Uncertainty Treemaps,Sondag et al.,24,19,suggested
Pub deactivated,13:57:14,10.1145/3430036.3430054,Survey on user studies on the effectiveness of treemaps,Fiedler et al.,24,18,
Pub activated,13:57:14,10.1109/pacificvis48177.2020.7614,Uncertainty Treemaps,Sondag et al.,24,19,suggested
Pub activated,13:57:14,10.1109/pacificvis48177.2020.7614,Uncertainty Treemaps,Sondag et al.,24,19,suggested
Pub excluded,13:57:22,10.1145/3231622.3231638,Interactive_ Height-Based Filtering in 2.5D Treemaps,Limberger et al.,24,21,suggested
Pub excluded,13:57:23,10.1145/3206505.3206591,Equal-height treemaps for multivariate data,Wittenburg and Lee,24,20,suggested
Pub excluded,13:57:25,10.1007/978-3-319-57336-6_14,Effectiveness and Efficiency of Using Different Types of Rectangular Treemap as Diagrams in Cartography,Zhou et al.,24,22,suggested
Pub excluded,13:57:28,10.1109/iv.2016.61,Evaluation of Sketchiness as a Visual Variable for 2.5D Treemaps,Limberger et al.,24,23,suggested
Pub excluded,13:57:32,10.1109/tvcg.2014.2346276,Nmap: a Novel Neighborhood Preservation Space-filling Algorithm,Duarte et al.,24,24,suggested
Pub excluded,13:57:34,10.1016/j.jvlc.2015.10.002,A mobile interface for navigating hierarchical information space,Chhetri et al.,24,26,suggested
Pub excluded,13:57:38,10.1007/978-3-642-25591-5_28,Treemaps with Bounded Aspect Ratio,de Berg et al.,24,25,suggested
Pub excluded,13:58:9,10.1145/632716.632834,Visualizing the stock market,Wattenberg,24,27,suggested
Pub excluded,13:58:13,10.1109/iv.2017.67,Mixed-Projection Treemaps: a Novel Approach Mixing 2D and 2.5D Treemaps,Limberger et al.,24,10,suggested
