event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,13:13:34,10.1109/tvcg.2007.70541,Casual Information Visualization: Depictions of Data in Everyday Life,Pousman et al.,4,29,
Pub suggested,13:13:34,10.1109/tvcg.2005.53,An Insight-Based Methodology for Evaluating Bioinformatics Visualizations,Saraiya et al.,4,30,
Pub suggested,13:13:34,10.1145/3544549.3585785,Tracking the Experience of Self in Everyday Life,Hoefer and Voida,4,31,
Pub suggested,13:13:34,10.1145/3544548.3581204,Data_ Data_ Everywhere: Uncovering Everyday Data Experiences for People with Intellectual and Developmental Disabilities,Wu et al.,4,32,
Pub suggested,13:13:34,10.1145/3565066.3608700,Towards Efficient Interaction for Personal Health Data Queries on Smartwatches,Rey et al.,4,33,
Pub suggested,13:13:34,10.3389/fspor.2022.882516,Identifying the Current State and Improvement Opportunities in the Information Flows Necessary to Manage Professional Athletes: a Case Study in Rugby Union,Ranaweera et al.,4,34,
Pub suggested,13:13:34,10.54097/hset.v24i.3885,NBA Game Analysis based on Big Data,Wang,4,35,
Pub suggested,13:13:34,10.1080/17461391.2020.1747552,Unlocking the potential of big data to support tactical performance analysis in professional soccer: a systematic review,Goes et al.,4,36,
Pub suggested,13:13:34,10.1145/3355047.3359391,Immersive analytics,Engelke et al.,4,37,
Pub suggested,13:13:34,10.1007/978-3-030-29384-0_35,Benefits and Trade-Offs of Different Model Representations in Decision Support Systems for Non-expert Users,Gutiérrez et al.,4,38,
Pub suggested,13:13:34,10.1145/2998181.2998239,Vernacular Visualization Practices in a Citizen Science Project,Snyder,4,39,
Pub suggested,13:13:34,10.1145/3027063.3053082,Attention_ Comprehension_ Execution:  Effects of Different Designs of Biofeedback Display,Sun et al.,4,40,
Pub suggested,13:13:34,10.1145/2971485.2971546,Designing Information Visualizations for Elite Soccer Children's Different Levels of Comprehension,Herdal et al.,4,41,
Pub suggested,13:13:34,10.1080/24748668.2016.11868885,Analysis of errors made by line umpires on ATP tournaments,Carboch et al.,4,42,
Pub suggested,13:13:34,10.1145/2470654.2481324,Carpé data:  supporting serendipitous data integration in personal information management,Van Kleek et al.,4,43,
Pub suggested,13:13:34,10.1177/1473871613511959,Glyph sorting: Interactive visualization for multi-dimensional data,Chung et al.,4,44,
Pub suggested,13:13:34,10.1145/2317956.2317980,People_ content_ location:  sweet spotting urban screens for situated engagement,Schroeter et al.,4,45,
Pub suggested,13:13:34,10.1007/978-3-642-15470-6_7,Visualizing Threaded Conversation Networks: Mining Message Boards and Email Lists for Actionable Insights,Hansen et al.,4,46,
Pub suggested,13:13:34,10.1145/1753326.1753423,Who's hogging the bandwidth:  the consequences of revealing the invisible in the home,Chetty et al.,4,47,
Pub suggested,13:13:34,10.1145/1690388.1690420,ISee:  interactive scenario explorer for online tournament games,Smith et al.,4,48,
Pub suggested,13:13:34,10.1145/1357054.1357131,MAHI:  investigation of social scaffolding for reflective thinking in diabetes management,Mamykina et al.,4,49,
Pub suggested,13:13:34,10.1109/mcg.2003.1231171,A Next Step: Visualizing Errors and Uncertainty,Johnson and Sanderson,4,50,
Update,13:13:40,,,,,,,4
Keywords updated,13:13:59,,,,,,,Visual
Pub suggested,13:13:59,10.1109/mcg.2020.2968244,Reaching Broader Audiences with Data Visualization,Lee et al.,4,1,
Pub suggested,13:13:59,10.1080/23729333.2023.2189431,Cartography &amp; geovisual analytics in personal contexts: designing for the data creator,Nelson,4,2,
Pub suggested,13:13:59,10.1016/j.ijcci.2023.100565,Tangible data visualization of physical activity for children and adolescents: a qualitative study of temporal transition of experiences,Eslambolchilar et al.,4,3,
Pub suggested,13:13:59,10.2139/ssrn.4170548,Tangible Data Visualization of Physical Activity for Children and Adolescents: a Qualitative Study of Temporal Transition of Experiences,Eslambolchilar et al.,4,4,
Pub suggested,13:13:59,10.1145/3411764.3445421,Data@Hand: Fostering Visual Exploration of Personal Data on Smartphones Leveraging Speech and Touch Interaction,Kim et al.,4,5,
Pub suggested,13:13:59,10.1145/3357236.3395463,Visualizing Personal Rhythms:  a Critical Visual Analysis of Mental Health in Flux,Snyder,4,6,
Pub suggested,13:13:59,10.1145/3393914.3395875,An Analytical Visualization of Local Running Activity on a Public Display,Coenen and Vande Moere,4,7,
Pub suggested,13:13:59,10.1109/iv.2019.00029,Comparison of Visualization Tools for Matches Analysis of a MOBA Game,Afonso et al.,4,8,
Pub suggested,13:13:59,10.1145/3290605.3300363,Visually Encoding the Lived Experience of Bipolar Disorder,Snyder et al.,4,9,
Pub suggested,13:13:59,10.14236/ewic/hci2018.17,A Taxonomy for Visualisations of Personal Physical Activity Data on Self-Tracking Devices and their Applications,Alrehiely et al.,4,10,
Pub suggested,13:13:59,10.1007/978-3-319-58735-6_11,An Integration of Empirical Study Participants into the Mobile Data Analysis through Information Visualization,Ludwig et al.,4,11,
Pub suggested,13:13:59,10.1109/mcg.2017.23,Expanding Research Methods for a Realistic Understanding of Personal Visualization,Thudt et al.,4,12,
Pub suggested,13:13:59,10.1145/3154862.3154881,Understanding self-reflection:  how people reflect on personal data through visual data exploration,Choe et al.,4,13,
Pub suggested,13:13:59,10.1109/mcg.2016.100,Using Gap Charts to Visualize the Temporal Evolution of Ranks and Scores,Perin et al.,4,14,
Pub suggested,13:13:59,10.1109/mcg.2015.71,Visualizing Personal Progress in Participatory Sports Cycling Events,Wood,4,15,
Pub suggested,13:13:59,10.1109/tvcg.2014.2352953,Activity Sculptures: Exploring the Impact of Physical Visualizations on Running Activity,Stusak et al.,4,16,
Pub suggested,13:13:59,10.1145/2669557.2669564,Pre-design empiricism for information visualization:  scenarios_ methods_ and challenges,Brehmer et al.,4,17,
Pub suggested,13:13:59,10.2519/jospt.2010.3166,Reducing Impact Loading during Running with the Use of Real-Time Visual Feedback,Crowell et al.,4,18,
Pub suggested,13:13:59,10.1109/tvcg.2010.164,How Information Visualization Novices Construct Visualizations,Grammel et al.,4,19,
Pub suggested,13:13:59,10.1109/tvcg.2007.70541,Casual Information Visualization: Depictions of Data in Everyday Life,Pousman et al.,4,20,
Pub suggested,13:13:59,10.1109/tvcg.2005.53,An Insight-Based Methodology for Evaluating Bioinformatics Visualizations,Saraiya et al.,4,21,
Pub suggested,13:13:59,10.1145/2030112.2030166,Understanding my data_ myself:  supporting self-reflection with ubicomp technologies,Li et al.,4,22,
Pub suggested,13:13:59,10.1145/3563657.3596120,Being_ Having_ Doing_ and Interacting: a Personal Informatics Approach to Understanding Human Need Satisfaction in Everyday Life,Hoefer and Voida,4,23,
Pub suggested,13:13:59,10.1145/3286689.3286690,In-situ evaluation of a "What if" approach for eco-feedback,Wambecke et al.,4,24,
Pub suggested,13:13:59,10.1145/3173574.3173728,Self-Reflection and Personal Physicalization Construction,Thudt et al.,4,25,
Pub suggested,13:13:59,10.1080/07370024.2016.1276456,Personal Informatics_ Self-Insight_ and Behavior Change: a Critical Review of Current Literature,Kersten-van Dijk et al.,4,26,
Pub suggested,13:13:59,10.1145/2998181.2998239,Vernacular Visualization Practices in a Citizen Science Project,Snyder,4,27,
Pub suggested,13:13:59,10.1145/2909132.2909267,Go and Grow:  Mapping Personal Data to a Living Plant,Botros et al.,4,28,
Pub suggested,13:13:59,10.1145/2957276.2957293,Help Me Help You:  Shared Reflection for Personal Data,Graham et al.,4,29,
Pub suggested,13:13:59,10.1145/2971485.2971546,Designing Information Visualizations for Elite Soccer Children's Different Levels of Comprehension,Herdal et al.,4,30,
Pub suggested,13:13:59,10.1109/icdmw.2014.167,Identifying Team Style in Soccer Using Formations Learned from Spatiotemporal Tracking Data,Bialkowski et al.,4,31,
Pub suggested,13:13:59,10.1177/1473871613511959,Glyph sorting: Interactive visualization for multi-dimensional data,Chung et al.,4,32,
Pub suggested,13:13:59,10.1007/978-3-642-15470-6_7,Visualizing Threaded Conversation Networks: Mining Message Boards and Email Lists for Actionable Insights,Hansen et al.,4,33,
